,,,,,,Rk,Player,Nation,Position,Squad,Competition,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage
36,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,25,1992,34,34,"3,060",34.0,48,1.41,153,104,72.5,6,15,13,8,23.5,9,6,3,0,33.3,Matches
37,Petr Čech,cz CZE,GK,Arsenal,eng Premier League,35,1982,34,34,"3,039",33.8,48,1.42,135,85,68.1,16,6,12,11,32.4,6,5,1,0,16.7,Matches
38,Nereo Champagne,ar ARG,GK,Leganés,es La Liga,32,1985,2,2,180,2.0,6,3.00,9,3,44.4,0,0,2,0,0.0,1,1,0,0,0.0,Matches
39,Leandro Chichizola,ar ARG,GK,Las Palmas,es La Liga,27,1990,27,27,"2,430",27.0,47,1.74,149,103,70.5,4,5,18,4,14.8,3,3,0,0,0.0,Matches
40,Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,28,1989,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0,,Matches
41,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,30,1987,37,37,"3,316",36.8,58,1.57,172,114,67.4,11,10,16,10,27.0,3,2,1,0,33.3,Matches
42,Alex Cordaz,it ITA,GK,Crotone,it Serie A,34,1983,38,38,"3,420",38.0,66,1.74,200,133,70.0,9,8,21,5,13.2,8,6,1,1,14.3,Matches
43,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,33,1983,4,4,360,4.0,5,1.25,17,12,76.5,1,0,3,1,25.0,1,1,0,0,0.0,Matches
44,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,30,1987,36,36,"3,240",36.0,45,1.25,123,75,66.7,16,7,13,10,27.8,8,4,4,0,50.0,Matches
45,Thibaut Courtois,be BEL,GK,Chelsea,eng Premier League,25,1992,35,35,"3,150",35.0,34,0.97,106,74,69.8,20,6,9,15,42.9,2,2,0,0,0.0,Matches
46,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,23,1994,29,29,"2,536",28.2,47,1.67,130,82,68.5,7,5,17,7,24.1,10,6,2,2,25.0,Matches
47,Luca Crosta,it ITA,GK,Cagliari,it Serie A,19,1998,1,1,90,1.0,3,3.00,3,0,33.3,0,0,1,0,0.0,1,1,0,0,0.0,Matches
48,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,33,1984,35,35,"3,150",35.0,43,1.23,139,95,72.7,11,7,17,14,40.0,6,5,1,0,16.7,Matches
49,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,26,1990,10,10,900,10.0,15,1.50,47,34,74.5,1,5,4,2,20.0,3,3,0,0,0.0,Matches
50,Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,25,1992,3,3,270,3.0,5,1.67,15,10,73.3,0,2,1,0,0.0,1,1,0,0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
51,Thomas Didillon,fr FRA,GK,Metz,fr Ligue 1,21,1995,9,9,810,9.0,14,1.56,35,22,68.6,1,1,7,2,22.2,3,3,0,0,0.0,Matches
52,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,25,1992,36,36,"3,240",36.0,49,1.36,124,78,63.7,13,8,15,10,27.8,4,4,0,0,0.0,Matches
53,Jaume Doménech,es ESP,GK,Valencia,es La Liga,26,1990,5,5,450,5.0,5,1.00,21,16,76.2,4,0,1,2,40.0,0,0,0,0,,Matches
54,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,18,1999,38,38,"3,420",38.0,42,1.11,132,91,69.7,18,10,10,12,31.6,3,2,0,1,0.0,Matches
55,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,19,1997,3,1,217,2.4,8,3.32,17,9,52.9,0,0,1,0,0.0,0,0,0,0,,Matches
56,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,28,1989,12,12,"1,080",12.0,11,0.92,37,25,70.3,6,1,5,4,33.3,1,0,1,0,100.0,Matches
57,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,24,1993,1,1,90,1.0,3,3.00,5,2,60.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
58,Ederson,br BRA,GK,Manchester City,eng Premier League,23,1993,36,36,"3,194",35.5,26,0.73,80,54,67.5,30,4,2,16,44.4,2,0,2,0,100.0,Matches
59,Rob Elliot,ie IRL,GK,Newcastle Utd,eng Premier League,31,1986,16,16,"1,440",16.0,21,1.31,64,43,68.8,5,2,9,3,18.8,2,1,1,0,50.0,Matches
60,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,29,1987,3,3,270,3.0,9,3.00,20,11,55.0,1,0,2,0,0.0,1,0,0,1,,Matches
61,Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,32,1985,38,38,"3,420",38.0,56,1.47,190,133,72.1,8,9,21,9,23.7,6,3,3,0,50.0,Matches
62,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,28,1988,34,34,"3,015",33.5,37,1.10,127,89,73.2,18,9,7,12,35.3,6,3,2,1,40.0,Matches
63,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,30,1986,3,3,225,2.5,6,2.40,16,10,68.8,0,1,2,0,0.0,1,1,0,0,0.0,Matches
64,Raúl Fernández,es ESP,GK,Levante,es La Liga,29,1988,11,11,990,11.0,15,1.36,53,38,71.7,2,6,3,3,27.3,0,0,0,0,,Matches
65,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,29,1988,20,20,"1,800",20.0,30,1.50,97,66,69.1,4,7,9,4,20.0,1,0,1,0,100.0,Matches
66,Ben Foster,eng ENG,GK,West Brom,eng Premier League,34,1983,37,37,"3,330",37.0,55,1.49,151,98,64.2,6,12,19,10,27.0,1,1,0,0,0.0,Matches
67,Paulo Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,25,1992,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
68,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,26,1990,37,37,"3,330",37.0,28,0.76,140,114,80.7,24,6,7,18,48.6,1,1,0,0,0.0,Matches
69,Rafał Gikiewicz,pl POL,GK,Freiburg,de Bundesliga,29,1987,2,1,154,1.7,3,1.75,7,4,57.1,0,1,0,0,0.0,0,0,0,0,,Matches
70,Dani Giménez,es ESP,GK,Betis,es La Liga,34,1983,4,4,309,3.4,0,0.00,8,8,100.0,3,1,0,3,75.0,0,0,0,0,,Matches
71,Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,22,1995,7,7,622,6.9,4,0.58,17,13,76.5,3,2,2,3,42.9,0,0,0,0,,Matches
72,Heurelho Gomes,br BRA,GK,Watford,eng Premier League,36,1981,24,24,"2,128",23.6,40,1.69,100,61,63.0,7,5,12,5,20.8,3,3,0,0,0.0,Matches
73,Alfred Gomis,sn SEN,GK,SPAL,it Serie A,23,1993,26,25,"2,261",25.1,43,1.71,140,98,73.6,6,7,12,3,12.0,7,6,1,0,14.3,Matches
74,Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,26,1990,4,4,360,4.0,6,1.50,13,7,53.8,2,1,1,1,25.0,0,0,0,0,,Matches
75,Lee Grant,eng ENG,GK,Stoke City,eng Premier League,34,1983,3,3,270,3.0,7,2.33,15,8,53.3,0,1,2,0,0.0,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
76,Vicente Guaita,es ESP,GK,Getafe,es La Liga,30,1987,33,33,"2,970",33.0,26,0.79,111,84,77.5,13,9,11,12,36.4,3,1,1,1,50.0,Matches
77,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,27,1990,33,33,"2,970",33.0,52,1.58,147,95,68.0,15,8,10,6,18.2,5,5,0,0,0.0,Matches
78,Régis Gurtner,fr FRA,GK,Amiens,fr Ligue 1,30,1986,37,37,"3,330",37.0,41,1.11,171,130,78.4,12,9,16,11,29.7,4,4,0,0,0.0,Matches
79,Ben Hamer,eng ENG,GK,Leicester City,eng Premier League,29,1987,4,3,275,3.1,7,2.29,13,6,53.8,0,1,2,1,33.3,1,1,0,0,0.0,Matches
80,Samir Handanović,si SVN,GK,Inter,it Serie A,33,1984,38,38,"3,420",38.0,30,0.79,117,91,76.1,20,12,6,17,44.7,2,2,0,0,0.0,Matches
81,Joe Hart,eng ENG,GK,West Ham,eng Premier League,30,1987,19,19,"1,710",19.0,39,2.05,91,51,61.5,3,6,10,4,21.1,5,4,1,0,20.0,Matches
82,Tom Heaton,eng ENG,GK,Burnley,eng Premier League,31,1986,4,4,305,3.4,4,1.18,12,8,66.7,2,1,1,0,0.0,0,0,0,0,,Matches
83,Wayne Hennessey,wls WAL,GK,Crystal Palace,eng Premier League,30,1987,27,27,"2,430",27.0,41,1.52,127,88,68.5,8,6,13,7,25.9,1,1,0,0,0.0,Matches
84,Iago Herrerín,es ESP,GK,Athletic Club,es La Liga,29,1988,8,8,720,8.0,6,0.75,30,23,86.7,3,4,1,4,50.0,3,2,1,0,33.3,Matches
85,Marwin Hitz,ch SUI,GK,Augsburg,de Bundesliga,29,1987,32,32,"2,880",32.0,42,1.31,159,116,74.2,10,10,12,9,28.1,2,1,1,0,50.0,Matches
86,Timo Horn,de GER,GK,Köln,de Bundesliga,24,1993,34,34,"3,060",34.0,70,2.06,201,130,69.2,5,7,22,5,14.7,9,8,1,0,11.1,Matches
87,Lukáš Hrádecký,fi FIN,GK,Eint Frankfurt,de Bundesliga,27,1989,34,34,"3,060",34.0,45,1.32,133,90,67.7,14,7,13,7,20.6,3,2,0,1,0.0,Matches
88,Gorka Iraizoz,es ESP,GK,Girona,es La Liga,36,1981,9,8,765,8.5,13,1.53,36,25,63.9,1,3,4,2,25.0,0,0,0,0,,Matches
89,Eldin Jakupović,ch SUI,GK,Leicester City,eng Premier League,32,1984,2,2,180,2.0,6,3.00,13,8,53.8,1,0,1,0,0.0,0,0,0,0,,Matches
90,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,32,1984,31,31,"2,790",31.0,44,1.42,140,97,72.1,10,10,11,7,22.6,6,5,0,1,0.0,Matches
91,Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,27,1990,38,38,"3,420",38.0,59,1.55,171,111,68.4,12,11,15,11,28.9,7,5,2,0,28.6,Matches
92,Bingourou Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,20,1996,19,19,"1,692",18.8,32,1.70,86,54,65.1,4,6,9,2,10.5,2,2,0,0,0.0,Matches
93,Loris Karius,de GER,GK,Liverpool,eng Premier League,24,1993,19,19,"1,710",19.0,14,0.74,45,30,73.3,11,5,3,10,52.6,3,2,1,0,33.3,Matches
94,Orestis Karnezis,gr GRE,GK,Watford,eng Premier League,32,1985,15,14,"1,292",14.4,24,1.67,56,32,62.5,4,3,7,4,28.6,3,3,0,0,0.0,Matches
95,Eiji Kawashima,jp JPN,GK,Metz,fr Ligue 1,34,1983,29,29,"2,569",28.5,60,2.10,167,106,64.1,5,7,17,2,6.9,2,0,2,0,100.0,Matches
96,Hervé Koffi,bf BFA,GK,Lille,fr Ligue 1,20,1996,4,4,360,4.0,11,2.75,20,10,50.0,0,1,3,0,0.0,1,1,0,0,0.0,Matches
97,Tomáš Koubek,cz CZE,GK,Rennes,fr Ligue 1,24,1992,34,34,"3,060",34.0,36,1.06,127,91,73.2,16,8,10,10,29.4,5,2,2,1,50.0,Matches
98,Maksym Koval,ua UKR,GK,La Coruña,es La Liga,24,1992,2,2,121,1.3,3,2.23,5,2,40.0,,1,1,,,,,,,,Matches
99,Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,29,1988,3,3,270,3.0,2,0.67,14,12,92.9,0,3,0,1,33.3,1,1,0,0,0.0,Matches
100,Alban Lafont,fr FRA,GK,Toulouse,fr Ligue 1,18,1999,38,38,"3,420",38.0,54,1.42,158,106,69.6,9,10,19,12,31.6,6,6,0,0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
101,Eugenio Lamanna,it ITA,GK,Genoa,it Serie A,27,1989,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
102,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,26,1991,38,38,"3,420",38.0,33,0.87,117,84,76.1,11,18,9,14,36.8,6,5,0,1,0.0,Matches
103,Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,25,1992,33,33,"2,970",33.0,40,1.21,110,70,68.2,15,10,8,10,30.3,5,5,0,0,0.0,Matches
104,Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,26,1990,13,13,"1,170",13.0,17,1.31,44,28,65.9,2,7,4,1,7.7,2,2,0,0,0.0,Matches
105,Raúl Lizoain,es ESP,GK,Las Palmas,es La Liga,26,1991,11,11,990,11.0,27,2.45,66,39,62.1,1,2,8,1,9.1,2,2,0,0,0.0,Matches
106,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,30,1986,36,36,"3,240",36.0,35,0.97,117,82,71.8,22,7,7,15,41.7,3,2,0,1,0.0,Matches
107,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,26,1990,34,34,"3,060",34.0,37,1.09,137,101,76.6,21,8,5,14,41.2,8,5,2,1,28.6,Matches
108,Diego López,es ESP,GK,Espanyol,es La Liga,35,1981,10,10,854,9.5,11,1.16,40,30,75.0,3,5,2,3,30.0,2,1,1,0,50.0,Matches
109,Pau López,es ESP,GK,Espanyol,es La Liga,22,1994,29,28,"2,566",28.5,31,1.09,124,92,77.4,9,8,11,9,32.1,4,3,1,0,25.0,Matches
110,Pedro López,es ESP,GK,Betis,es La Liga,22,1995,5,4,411,4.6,8,1.75,16,8,50.0,1,1,2,1,25.0,0,0,0,0,,Matches
111,Jonas Lössl,dk DEN,GK,Huddersfield,eng Premier League,28,1989,38,38,"3,420",38.0,58,1.53,158,99,65.8,9,10,19,10,26.3,6,4,2,0,33.3,Matches
112,Andreas Luthe,de GER,GK,Augsburg,de Bundesliga,30,1987,2,2,180,2.0,4,2.00,7,3,57.1,0,1,1,0,0.0,1,1,0,0,0.0,Matches
113,Raïs M'Bolhi,dz ALG,GK,Rennes,fr Ligue 1,31,1986,1,1,90,1.0,3,3.00,6,3,83.3,0,0,1,0,0.0,2,2,0,0,0.0,Matches
114,Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,22,1995,34,34,"3,032",33.7,53,1.57,160,107,68.8,10,7,17,5,14.7,5,3,2,0,40.0,Matches
115,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,32,1985,31,31,"2,706",30.0,37,1.23,114,77,70.2,18,9,4,11,35.5,5,3,1,1,25.0,Matches
116,Gabriele Marchegiani,it ITA,GK,SPAL,it Serie A,21,1996,1,0,1,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches
117,Emiliano Martínez,ar ARG,GK,Getafe,es La Liga,24,1992,5,5,450,5.0,7,1.40,19,12,68.4,2,1,2,2,40.0,1,1,0,0,0.0,Matches
118,Christian Mathenia,de GER,GK,Hamburger SV,de Bundesliga,25,1992,24,24,"2,160",24.0,38,1.58,95,58,63.2,4,6,14,6,25.0,4,3,0,1,0.0,Matches
119,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,27,1989,18,18,"1,620",18.0,26,1.44,68,42,63.2,3,8,7,4,22.2,1,1,0,0,0.0,Matches
120,Brais Méndez,es ESP,"MF,FW",Celta Vigo,es La Liga,20,1997,1,0,,10.5,,,,,,,,,,,,,,,,Matches
121,Alex Meret,it ITA,GK,SPAL,it Serie A,20,1997,13,13,"1,158",12.9,16,1.24,60,44,78.3,2,7,4,4,30.8,5,3,2,0,40.0,Matches
122,Mathieu Michel,fr FRA,GK,Angers,fr Ligue 1,25,1991,7,6,597,6.6,13,1.96,26,14,57.7,1,2,3,1,16.7,2,2,0,0,0.0,Matches
123,Simon Mignolet,be BEL,GK,Liverpool,eng Premier League,29,1988,19,19,"1,710",19.0,24,1.26,59,34,62.7,10,7,2,7,36.8,3,2,1,0,33.3,Matches
124,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,20,1997,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches
125,Antonio Mirante,it ITA,GK,Bologna,it Serie A,34,1983,33,33,"2,970",33.0,46,1.39,144,101,69.4,10,5,18,7,21.2,3,2,0,1,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
126,Jessy Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,31,1986,4,3,304,3.4,6,1.78,29,23,82.8,1,0,2,1,33.3,1,1,0,0,0.0,Matches
127,Florian Müller,de GER,GK,Mainz 05,de Bundesliga,19,1997,5,5,450,5.0,7,1.40,21,13,66.7,1,1,3,1,20.0,1,0,1,0,100.0,Matches
128,Yvon Mvogo,ch SUI,GK,RB Leipzig,de Bundesliga,23,1994,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,Matches
129,Boaz Myhill,wls WAL,GK,West Brom,eng Premier League,34,1982,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,Matches
130,Keylor Navas,cr CRC,GK,Real Madrid,es La Liga,30,1986,27,27,"2,430",27.0,31,1.15,111,79,73.9,16,7,4,7,25.9,4,2,2,0,50.0,Matches
131,Neto,br BRA,GK,Valencia,es La Liga,28,1989,33,33,"2,970",33.0,33,1.00,143,108,79.0,18,7,8,10,30.3,5,3,2,0,40.0,Matches
132,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,31,1986,3,3,270,3.0,2,0.67,7,5,71.4,2,0,1,2,66.7,0,0,0,0,,Matches
133,Alexander Nübel,de GER,GK,Schalke 04,de Bundesliga,20,1996,1,0,45,0.5,0,0.00,2,2,100.0,0,0,0,1,,0,0,0,0,,Matches
134,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,24,1993,37,37,"3,330",37.0,22,0.59,126,102,83.3,22,10,5,22,59.5,4,1,3,0,75.0,Matches
135,Oier Olazábal,es ESP,GK,Levante,es La Liga,27,1989,26,26,"2,340",26.0,39,1.50,122,85,72.1,9,7,10,7,26.9,6,5,0,1,0.0,Matches
136,David Ospina,co COL,GK,Arsenal,eng Premier League,28,1988,5,4,381,4.2,3,0.71,12,9,75.0,3,0,1,2,50.0,0,0,0,0,,Matches
137,Alexandre Oukidja,dz ALG,GK,Strasbourg,fr Ligue 1,29,1988,17,16,"1,457",16.2,29,1.79,71,41,64.8,3,5,8,2,12.5,5,4,1,0,20.0,Matches
138,Ramazan Özcan,at AUT,GK,Leverkusen,de Bundesliga,33,1984,1,1,90,1.0,4,4.00,8,3,50.0,0,0,1,0,0.0,1,0,1,0,100.0,Matches
139,Fernando Pacheco,es ESP,GK,Alavés,es La Liga,25,1992,38,37,"3,357",37.3,50,1.34,171,121,74.9,15,2,20,12,32.4,10,7,2,1,22.2,Matches
140,Costel Pantilimon,ro ROU,GK,La Coruña,es La Liga,30,1987,6,6,540,6.0,9,1.50,26,18,69.2,3,0,3,1,16.7,1,1,0,0,0.0,Matches
141,Jiří Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,25,1992,34,34,"3,060",34.0,40,1.18,162,123,76.5,10,12,12,8,23.5,4,2,1,1,33.3,Matches
142,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,36,1981,2,1,104,1.2,1,0.87,6,6,83.3,0,0,1,0,0.0,0,0,0,0,,Matches
143,Yohann Pelé,fr FRA,GK,Marseille,fr Ligue 1,34,1982,9,7,714,8.2,10,1.26,27,18,66.7,4,2,1,3,42.9,1,1,0,0,0.0,Matches
144,Mattia Perin,it ITA,GK,Genoa,it Serie A,24,1992,37,37,"3,330",37.0,42,1.14,167,127,77.2,11,8,18,12,32.4,4,4,0,0,0.0,Matches
145,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,23,1994,38,38,"3,420",38.0,58,1.53,178,119,69.1,13,10,15,10,26.3,5,3,1,1,25.0,Matches
146,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,27,1990,1,0,28,0.3,1,3.21,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches
147,Julian Pollersbeck,de GER,GK,Hamburger SV,de Bundesliga,22,1994,10,10,900,10.0,15,1.50,47,32,68.1,4,1,5,1,10.0,0,0,0,0,,Matches
148,Nick Pope,eng ENG,GK,Burnley,eng Premier League,25,1992,35,34,"3,115",34.6,35,1.01,148,113,78.4,12,11,11,12,35.3,5,3,1,1,25.0,Matches
149,Nicolas de Préville,fr FRA,"FW,MF",Lille,fr Ligue 1,26,1991,1,0,11,3.2,1,8.18,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches
150,Andrés Prieto,es ESP,GK,Málaga,es La Liga,23,1993,4,4,360,4.0,10,2.50,20,10,60.0,0,0,4,0,0.0,2,2,0,0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
151,Jérôme Prior,fr FRA,GK,Bordeaux,fr Ligue 1,21,1995,2,2,180,2.0,3,1.50,9,6,66.7,0,0,2,0,0.0,0,0,0,0,,Matches
152,Christian Puggioni,it ITA,GK,Benevento,it Serie A,36,1981,14,14,"1,179",13.1,26,1.98,65,39,67.7,3,1,10,2,14.3,6,5,0,1,0.0,Matches
153,Christian Puggioni,it ITA,GK,Sampdoria,it Serie A,36,1981,9,9,810,9.0,12,1.33,53,41,83.0,5,2,2,3,33.3,3,3,0,0,0.0,Matches
154,Rafael,br BRA,GK,Cagliari,it Serie A,35,1982,10,8,794,8.8,11,1.25,39,28,74.4,4,1,3,1,12.5,1,1,0,0,0.0,Matches
155,Toño Ramírez,es ESP,GK,Real Sociedad,es La Liga,30,1986,4,3,315,3.5,6,1.71,11,5,45.5,1,0,2,2,66.7,0,0,0,0,,Matches
156,Pepe Reina,es ESP,GK,Napoli,it Serie A,34,1982,37,37,"3,330",37.0,29,0.78,97,68,72.2,28,6,3,18,48.6,2,2,0,0,0.0,Matches
157,Baptiste Reynet,fr FRA,GK,Dijon,fr Ligue 1,26,1990,38,38,"3,420",38.0,73,1.92,201,128,69.2,13,9,16,5,13.2,14,11,3,0,21.4,Matches
158,Sergio Rico,es ESP,GK,Sevilla,es La Liga,23,1993,24,23,"2,155",24.0,39,1.63,92,52,60.9,10,3,10,9,39.1,5,3,1,1,25.0,Matches
159,Asier Riesgo,es ESP,GK,Eibar,es La Liga,33,1983,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches
160,Roberto,es ESP,GK,Málaga,es La Liga,31,1986,34,34,"3,060",34.0,51,1.50,150,98,68.7,5,5,24,6,17.6,5,4,1,0,20.0,Matches
161,Sergio Romero,ar ARG,GK,Manchester Utd,eng Premier League,30,1987,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
162,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,26,1991,1,0,8,0.1,1,11.25,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches
163,Rubén,es ESP,GK,La Coruña,es La Liga,33,1984,28,27,"2,477",27.5,58,2.11,134,77,58.2,3,9,15,4,14.8,3,2,1,0,33.3,Matches
164,Stéphane Ruffier,fr FRA,GK,Saint-Étienne,fr Ligue 1,30,1986,35,35,"3,112",34.6,44,1.27,150,106,74.0,14,10,11,12,34.3,6,5,1,0,16.7,Matches
165,Gerónimo Rulli,ar ARG,GK,Real Sociedad,es La Liga,25,1992,26,26,"2,340",26.0,45,1.73,105,61,61.0,10,5,11,6,23.1,5,4,1,0,20.0,Matches
166,Mathew Ryan,au AUS,GK,Brighton,eng Premier League,25,1992,38,38,"3,420",38.0,54,1.42,172,121,69.2,9,13,16,10,26.3,3,1,2,0,66.7,Matches
167,Mamadou Samassa,ml MLI,GK,Troyes,fr Ligue 1,27,1990,21,21,"1,890",21.0,31,1.48,101,70,71.3,6,3,12,5,23.8,3,2,1,0,33.3,Matches
168,Brice Samba,fr FRA,GK,Caen,fr Ligue 1,23,1994,4,3,315,3.5,4,1.14,19,15,84.2,1,1,1,2,66.7,1,1,0,0,0.0,Matches
169,Antonio Santurro,do DOM,GK,Bologna,it Serie A,25,1992,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
170,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,30,1986,33,33,"2,965",32.9,47,1.43,138,90,66.7,11,10,12,8,24.2,3,1,2,0,66.7,Matches
171,Alexander Schwolow,de GER,GK,Freiburg,de Bundesliga,25,1992,33,33,"2,906",32.3,53,1.64,151,102,67.5,8,11,14,9,27.3,5,4,0,1,0.0,Matches
172,Simone Scuffet,it ITA,GK,Udinese,it Serie A,21,1996,6,6,540,6.0,11,1.83,27,16,59.3,1,0,5,1,16.7,1,0,1,0,100.0,Matches
173,Luigi Sepe,it ITA,GK,Napoli,it Serie A,26,1991,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
174,Marco Silvestri,it ITA,GK,Hellas Verona,it Serie A,26,1991,2,2,180,2.0,7,3.50,25,18,72.0,0,0,2,0,0.0,0,0,0,0,,Matches
175,Tobias Sippel,de GER,GK,Gladbach,de Bundesliga,29,1988,5,4,435,4.8,10,2.07,23,13,56.5,1,0,3,1,25.0,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
176,Salvatore Sirigu,it ITA,GK,Torino,it Serie A,30,1987,37,37,"3,330",37.0,45,1.22,158,110,74.7,12,15,10,10,27.0,8,5,3,0,37.5,Matches
177,Antonio Sivera,es ESP,GK,Alavés,es La Liga,20,1996,1,1,63,0.7,,,1,1,,,,1,,,,,,,,Matches
178,Łukasz Skorupski,pl POL,GK,Roma,it Serie A,26,1991,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
179,Yann Sommer,ch SUI,GK,Gladbach,de Bundesliga,28,1988,30,30,"2,625",29.2,42,1.44,151,110,74.8,12,8,10,6,20.0,4,4,0,0,0.0,Matches
180,David Soria,es ESP,GK,Sevilla,es La Liga,24,1993,15,15,"1,265",14.0,19,1.35,58,40,70.7,7,4,4,5,33.3,3,2,0,1,0.0,Matches
181,Stefano Sorrentino,it ITA,GK,Chievo,it Serie A,38,1979,38,38,"3,420",38.0,59,1.55,187,129,70.6,10,10,18,7,18.4,7,4,3,0,42.9,Matches
182,Julián Speroni,ar ARG,GK,Crystal Palace,eng Premier League,38,1979,11,11,990,11.0,14,1.27,43,29,69.8,3,5,3,2,18.2,1,1,0,0,0.0,Matches
